grafo_id,n,p,optimizer,seed,r_final
2,8,1,qiea,1,0.775997
2,8,1,qiea,2,0.775997
2,8,1,qiea,3,0.775979
2,8,1,qiea,4,0.775979
2,8,1,qiea,5,0.775997
2,8,1,qiea,6,0.775997
2,8,1,qiea,7,0.775483
2,8,1,qiea,8,0.775818
2,8,1,qiea,9,0.775978
2,8,1,qiea,10,0.775997
2,8,1,qiea,11,0.775969
2,8,1,qiea,12,0.775979
2,8,1,qiea,13,0.775057
2,8,1,qiea,14,0.775997
2,8,1,qiea,15,0.775979
2,8,1,qiea,16,0.775979
2,8,1,qiea,17,0.775969
2,8,1,qiea,18,0.775979
2,8,1,qiea,19,0.775978
2,8,1,cobyla,0,0.77602
2,8,1,cobyla,1,0.77602
2,8,1,cobyla,2,0.77602
2,8,1,cobyla,3,0.77602
2,8,1,cobyla,4,0.77602
2,8,1,cobyla,5,0.77602
2,8,1,cobyla,6,0.77602
2,8,1,cobyla,7,0.77602
2,8,1,cobyla,8,0.77602
2,8,1,cobyla,9,0.77602
2,8,1,cobyla,10,0.77602
2,8,1,cobyla,11,0.77602
2,8,1,cobyla,12,0.6
2,8,1,cobyla,13,0.77602
2,8,1,cobyla,14,0.77602
2,8,1,cobyla,15,0.77602
2,8,1,cobyla,16,0.77602
2,8,1,cobyla,17,0.77602
2,8,1,cobyla,18,0.77602
2,8,1,cobyla,19,0.77602
2,8,1,random,0,0.775789
2,8,1,random,1,0.775398
2,8,1,random,2,0.77584
2,8,1,random,3,0.775638
2,8,1,random,4,0.775797
2,8,1,random,5,0.775942
2,8,1,random,6,0.77592
2,8,1,random,7,0.775679
2,8,1,random,8,0.774962
2,8,1,random,9,0.775851
2,8,1,random,10,0.77584
2,8,1,random,11,0.775888
2,8,1,random,12,0.775745
2,8,1,random,13,0.775961
2,8,1,random,14,0.775362
2,8,1,random,15,0.775915
2,8,1,random,16,0.775877
2,8,1,random,17,0.775693
2,8,1,random,18,0.775105
2,8,1,random,19,0.775407
2,8,1,cobyla_restart,0,0.77602
2,8,1,cobyla_restart,1,0.77602
2,8,1,cobyla_restart,2,0.77602
2,8,1,cobyla_restart,3,0.77602
2,8,1,cobyla_restart,4,0.77602
2,8,1,cobyla_restart,5,0.77602
2,8,1,cobyla_restart,6,0.77602
2,8,1,cobyla_restart,7,0.77602
2,8,1,cobyla_restart,8,0.77602
2,8,1,cobyla_restart,9,0.77602
2,8,1,cobyla_restart,10,0.77602
2,8,1,cobyla_restart,11,0.77602
2,8,1,cobyla_restart,12,0.77602
2,8,1,cobyla_restart,13,0.77602
2,8,1,cobyla_restart,14,0.77602
2,8,1,cobyla_restart,15,0.77602
2,8,1,cobyla_restart,16,0.77602
2,8,1,cobyla_restart,17,0.77602
2,8,1,cobyla_restart,18,0.77602
2,8,1,cobyla_restart,19,0.77602
2,8,2,qiea,0,0.841417
2,8,2,qiea,1,0.84087
2,8,2,qiea,2,0.829037
2,8,2,qiea,3,0.825829
2,8,2,qiea,4,0.829945
2,8,2,qiea,5,0.830301
2,8,2,qiea,6,0.841599
2,8,2,qiea,7,0.826681
2,8,2,qiea,8,0.841655
2,8,2,qiea,9,0.836541
2,8,2,qiea,10,0.840892
2,8,2,qiea,11,0.816184
2,8,2,qiea,12,0.841774
2,8,2,qiea,13,0.829299
2,8,2,qiea,14,0.836028
2,8,2,qiea,15,0.816628
2,8,2,qiea,16,0.841827
2,8,2,qiea,17,0.840829
2,8,2,qiea,18,0.83499
2,8,2,qiea,19,0.823733
2,8,2,cobyla,0,0.841897
2,8,2,cobyla,1,0.830407
2,8,2,cobyla,2,0.841897
2,8,2,cobyla,3,0.841896
2,8,2,cobyla,4,0.841897
2,8,2,cobyla,5,0.841897
2,8,2,cobyla,6,0.841897
2,8,2,cobyla,7,0.841896
2,8,2,cobyla,8,0.830407
2,8,2,cobyla,9,0.841897
2,8,2,cobyla,10,0.841897
2,8,2,cobyla,11,0.841897
2,8,2,cobyla,12,0.841897
2,8,2,cobyla,13,0.707203
2,8,2,cobyla,14,0.830407
2,8,2,cobyla,15,0.830407
2,8,2,cobyla,16,0.841897
2,8,2,cobyla,17,0.841897
2,8,2,cobyla,18,0.841897
2,8,2,cobyla,19,0.830407
2,8,2,random,0,0.828524
2,8,2,random,1,0.835809
2,8,2,random,2,0.829155
2,8,2,random,3,0.820313
2,8,2,random,4,0.829899
2,8,2,random,5,0.834008
2,8,2,random,6,0.828161
